Country,Year,Cellphone,Internetuser,Radio,Telephone,Xlpopulation,Xlrealgdp
Germany,1875,0,0,0,0,42520,52805
Germany,1876,0,0,0,0,43060,52515
Germany,1877,0,0,0,0,43610,52225
Germany,1878,0,0,0,0,44130,54691
Germany,1879,0,0,0,0,44640,53385
Germany,1880,0,0,0,0,45090,52950
Germany,1881,0,0,0,0,45430,54256
Germany,1882,0,0,0,0,45720,55126
Germany,1883,0,0,0,0,46020,58172
Germany,1884,0,0,0,0,46400,59623
Germany,1885,0,0,0,0,46710,61074
Germany,1886,0,0,0,0,47130,61509
Germany,1887,0,0,0,0,47630,63975
Germany,1888,0,0,0,39000,48170,66586
Germany,1889,0,0,0,51000,48720,68472
Germany,1890,0,0,0,61000,49240,70648
Germany,1891,0,0,0,74000,49760,70503
Germany,1892,0,0,0,84000,50270,73405
Germany,1893,0,0,0,96000,50760,77031
Germany,1894,0,0,0,121000,51340,78917
Germany,1895,0,0,0,139000,52000,82689
Germany,1896,0,0,0,166000,52750,85590
Germany,1897,0,0,0,184000,53570,88056
Germany,1898,0,0,0,224000,54410,91828
Germany,1899,0,0,0,242000,55250,95165
Germany,1900,0,0,0,306000,56050,99227
Germany,1901,0,0,0,358000,56870,96906
Germany,1902,0,0,0,412000,57770,99227
Germany,1903,0,0,0,470000,58630,104739
Germany,1904,0,0,0,538000,59470,108946
Germany,1905,0,0,0,618000,60310,111267
Germany,1906,0,0,0,705000,61150,114604
Germany,1907,0,0,0,797000,62010,119681
Germany,1908,0,0,0,883000,62860,121712
Germany,1909,0,0,0,975000,63720,124178
Germany,1910,0,0,0,1076000,64570,128676
Germany,1911,0,0,0,1193000,65360,133028
Germany,1912,0,0,0,1310000,66150,138830
Germany,1913,0,0,0,1428000,66980,145068
Germany,1914,0,0,0,0,0,123598
Germany,1915,0,0,0,0,0,117360
Germany,1916,0,0,0,0,0,118521
Germany,1917,0,0,0,0,0,118666
Germany,1918,0,0,0,0,0,118956
Germany,1919,0,0,0,0,0,104884
Germany,1920,0,0,0,1767000,0,114024
Germany,1921,0,0,0,1818000,0,126935
Germany,1922,0,0,0,1946000,61900,138105
Germany,1923,0,0,0,2073000,62310,114749
Germany,1924,0,0,0,2242000,62700,134333
Germany,1925,0,0,0,2385000,63170,149420
Germany,1926,0,0,0,2588000,63630,143327
Germany,1927,0,0,1022,2688000,64020,170020
Germany,1928,0,0,1377,2815000,64390,173937
Germany,1929,0,0,2235,2950000,64740,175968
Germany,1930,0,0,3238,3182000,65080,165233
Germany,1931,0,0,3732,3247000,65420,148405
Germany,1932,0,0,4168,3114000,65720,134623
Germany,1933,0,0,4533,2960000,66030,148695
Germany,1934,0,0,5425,2954000,66410,160155
Germany,1935,0,0,6725,3134000,66870,174662
Germany,1936,0,0,7584,3270000,67350,192941
Germany,1937,0,0,8512,3431000,67830,204546
Germany,1938,0,0,9575,3624000,68560,220359
Germany,1939,0,0,12415,4146000,0,241103
Germany,1940,0,0,14060,4382000,0,242844
Germany,1941,0,0,0,4959000,0,258221
Germany,1942,0,0,0,0,0,261703
Germany,1943,0,0,0,0,0,266926
Germany,1944,0,0,0,0,0,273744
Germany,1945,0,0,0,0,0,194682
Germany,1946,0,0,0,0,0,115619
Germany,1947,0,0,0,0,0,129836
Germany,1948,0,0,0,1777000,0,153772
Germany,1949,0,0,0,1881000,0,179159
Germany,1950,0,0,16212,2141000,68373,213976
Germany,1951,0,0,17105,2425000,68878,235011
Germany,1952,0,0,18048,2736000,69189,256626
Germany,1953,0,0,19042,3017000,69530,279256
Germany,1954,0,0,20091,3301000,68940,300726
Germany,1955,0,0,21198,3494000,70322,336848
Germany,1956,0,0,22366,4041000,70718,362526
Germany,1957,0,0,23598,4383000,71176,383851
Germany,1958,0,0,24898,4732000,71642,400533
Germany,1959,0,0,26270,5090000,72176,431723
Germany,1960,0,0,27718,5516000,72673,469151
Germany,1961,0,0,29245,5994000,73295,490331
Germany,1962,0,0,30856,6509000,73937,512816
Germany,1963,0,0,32556,7047000,74539,527033
Germany,1964,0,0,34350,7600000,74961,562139
Germany,1965,0,0,36242,8168000,75649,592314
Germany,1966,0,0,38239,8802000,76218,609142
Germany,1967,0,0,40346,9532000,76366,607256
Germany,1968,0,0,42569,10321000,76580,640912
Germany,1969,0,0,44914,11249000,77147,688639
Germany,1970,0,0,47389,12456000,77711,723745
Germany,1971,0,0,50000,13835000,78362,745506
Germany,1972,0,0,50490,15246000,78712,777276
Germany,1973,0,0,50985,16521000,78956,815138
Germany,1974,0,0,51485,17803000,78974,817314
Germany,1975,0,0,51990,18767000,78679,805854
Germany,1976,0,0,52500,19603000,78321,848939
Germany,1977,0,0,52991,21162000,78160,873021
Germany,1978,0,0,53486,22932000,78087,899278
Germany,1979,0,0,53986,24743000,78099,936125
Germany,1980,0,0,54491,26632000,78306,946280
Germany,1981,0,0,55000,28554000,78422,947151
Germany,1982,0,0,55491,30122000,78338,938301
Germany,1983,0,0,55987,31370000,78123,954839
Germany,1984,0,0,56487,35137000,77845,981677
Germany,1985,1375.096,0,56991,36582000,77664,1000000
Germany,1986,30293.88,0,57500,37899000,77686,1000000
Germany,1987,62125.91,0,57669,39128000,77717,1000000
Germany,1988,119431.2,0,57839,40288000,78121,1100000
Germany,1989,188464.3,0,58009,41735000,140184,1100000
Germany,1990,299351,109809.6,58179,43095000,141375,1200000
Germany,1991,556452.1,209093.9,69650,,142010,1200000
Germany,1992,967681.9,348484.6,71062,33600000,80595,1350000
Germany,1993,1770406,374160.5,72502,35267480,81180,1250000
Germany,1994,2489810,749792.1,73971,36917168,81422,1350000
Germany,1995,3717010,1496782,75470,38789244,81661,1400000
Germany,1996,5505266,2496946,77000,41909908,81896,1400000
Germany,1997,8277372,5500912,77500,44046120,82053,1400000
Germany,1998,13900000,8100987,77800,45207492,82029,1500000
Germany,1999,23400000,17100000,78100,46535668,82069,1500000
Germany,2000,48200000,24800000,78400,48165128,82191.9,1500000
Germany,2001,56200000,31000000,0,50189756,82314.8,0
Germany,2002,60000000,36000000,0,52211948,82476.6,0
Germany,2003,0,39000000,0,53692872,0,0
China,1875,0,0,0,0,0,0
China,1876,0,0,0,0,0,0
China,1877,0,0,0,0,0,0
China,1878,0,0,0,0,0,0
China,1879,0,0,0,0,0,0
China,1880,0,0,0,0,0,0
China,1881,0,0,0,0,0,0
China,1882,0,0,0,0,0,0
China,1883,0,0,0,0,0,0
China,1884,0,0,0,0,0,0
China,1885,0,0,0,0,0,0
China,1886,0,0,0,0,0,0
China,1887,0,0,0,0,0,0
China,1888,0,0,0,0,0,0
China,1889,0,0,0,0,0,0
China,1890,0,0,0,0,380000,233517
China,1891,0,0,0,0,0,0
China,1892,0,0,0,0,0,0
